Sorgu,Restoran Adı,Adres,Enlem,Boylam,Mesafe (km),Web Sitesi
kebap,ÖZKANLAR KEBAP PİDE VE LAHMACUN SALONU Ahmet ÖZKAN VE KARDEŞLERÍ....,"İhsaniye, Okul Cd. No:91, 16130 Ni̇lüfer/Bursa, Türkiye",40.2195025,28.9874993,2.103,Web Sitesi Yok
köfte,Çiğ Köfteci Cengiz Bursa (FSM Şube),"Zemin Cumhuriyet Nilüfer Hatun Cd. & Yıldız Sk. Karagüllü Apt, Cumhuriyet, D:2/A, 16130 Ni̇lüfer/Bursa, Türkiye",40.224842900000006,28.977838100000003,2.147,Web Sitesi Yok
kebap,Yarenler Kebap,"Güneştepe, 1. Fatih Cd 44 A, 16160 Osmangazi̇/Bursa, Türkiye",40.256595,28.996975,2.213,http://www.google.com/search?yarenler+kebap
lokanta,Şafak Lokantası,"Yunuseli, 16180 Osmangazi̇/Bursa, Türkiye",40.2510525,29.016321499999997,2.24,Web Sitesi Yok
köfte,Adıyamanlı Çiğ Köfteci Osman Usta Nilüfer-Fsm,"İhsaniye, Fatih Sultan Mehmet Blv. No48/A, 16130 Ni̇lüfer/Bursa, Türkiye",40.2223711,28.978812,2.266,http://www.cigkofteciosmanusta.com/
köfte,Oses Çiğ Köfte,"Hamitler, Albayrak Cd. No:61/A, 16175 Osmangazi̇/Bursa, Türkiye",40.2510915,28.9785231,2.289,http://www.oses.com.tr/
kebap,EHLİ KEYİF BURSA PİDE KEBAP IZGARA PİDELİ KÖFTE,"Hamitler, 3. Dumlupınar Cd. No:42, 16160 Osmangazi̇/Bursa, Türkiye",40.2514849,28.9790161,2.29,https://www.instagram.com/ehlikeyifbursa/
pizza,Pasaport Pizza Nilüfer,"fsm, Güven Pasajı, İhsaniye, Fatih Sultan Mehmet Blv. no:42/A/A, 16130 Ni̇lüfer/Bursa, Türkiye",40.221485799999996,28.9786711,2.345,http://www.pasaportpizza.com/
kebap,Zırhhan Kebap Döner,"Fethiye, Yenipazar Sk no:18, 16140 Ni̇lüfer/Bursa, Türkiye",40.233129999999996,28.969512799999997,2.434,https://www.instagram.com/zirhhankebapdoner
pizza,Coi Pizzeria & İtalian Food,"İhsaniye, İlknur Sk. No:1, 16130 Ni̇lüfer/Bursa, Türkiye",40.2195801,28.978638800000002,2.504,https://www.yemeksepeti.com/restaurant/x9cu/coi-x9cu
fast food,Yeyedoy Cafe & Fast Food,"Yenibağlar, Harbiye Cd. No:63, 16160 Osmangazi̇/Bursa, Türkiye",40.2524337,28.976522400000004,2.514,Web Sitesi Yok
pizza,Pizza Papa Johns,"Cumhuriyet, Fatih Sultan Mehmet Blv. No: 41 A BLOK-26 Apt, 16140 Ni̇lüfer/Bursa, Türkiye",40.2200105,28.977764899999997,2.517,http://www.papajohns.com.tr/
cafe,Park Bulvar Cafe - Restaurant,"Pentunya Parkı, Cumhuriyet, Kahraman Sk. No:14, 16140 Ni̇lüfer/Bursa, Türkiye",40.220382300000004,28.9764572,2.564,Web Sitesi Yok
cafe,Barış Kafe,"İhsaniye, 2. Dilek Sk., 16130 Ni̇lüfer/Bursa, Türkiye",40.2140033,28.9901855,2.605,Web Sitesi Yok
cafe,Quick coffee,"Yenibağlar, Ay Cd., 16160 Osmangazi̇/Bursa, Türkiye",40.2520151,28.974526200000003,2.608,Web Sitesi Yok
döner,Fsm Öncü Döner,"İhsaniye, Fatih Sultan Mehmet Blv. No:34 D:C, 16200 Ni̇lüfer/Bursa, Türkiye",40.2181868,28.977990000000002,2.658,https://google.oncudoner.com/
cafe,Vesta Café,"İhsaniye, Lefkoşe Sk. agora çarşı e blok no 8 kapı no z116, 16110 Ni̇lüfer/Bursa, Türkiye",40.2150555,28.984298900000002,2.666,Web Sitesi Yok
cafe,Numnum Café & Restaurant,"Cumhuriyet, Nilüfer Hatun Cd. No : 114/I D:12, 16210 Ni̇lüfer/Bursa, Türkiye",40.2260463,28.969048800000003,2.713,http://www.numnum.com.tr/
köfte,Podyum Çiğ Köfte,"Cumhuriyet, Güven Sk. No:3A D:16140, 16100 Ni̇lüfer/Bursa, Türkiye",40.2242639,28.969258300000003,2.79,https://podyumcigkofte.com/
cafe,Nova Luna Cafe & Academy,"İhsaniye, Barbaros Cd. Kristalpark No:50, 16130 Ni̇lüfer/Bursa, Türkiye",40.2130328,28.986391200000003,2.804,Web Sitesi Yok
cafe,BanBan Cafe & Restaurant,"Fethiye, Çağıl Sk No: 14 B, 16140 Ni̇lüfer/Bursa, Türkiye",40.229566500000004,28.965718699999996,2.837,https://banban.com.tr/
cafe,Kenaz Cafe - Nilüfer,"Cumhuriyet, Aktaş Sk. No: 12C D:C, 16140 Ni̇lüfer/Bursa, Türkiye",40.224050999999996,28.9686184,2.849,http://www.kenazcafe.com.tr/
cafe,Aylak Cafe,"Cumhuriyet, Gazi Cd. No:26, 16140 Ni̇lüfer/Bursa, Türkiye",40.219466,28.972389999999997,2.885,Web Sitesi Yok
pizza,Paradise Pizza Bursa,"Paradise Pizza, Cumhuriyet, Gazi Cd. Ayyıldız Kent Sit. D:26/B, 16140 Ni̇lüfer/Bursa, Türkiye",40.219282899999996,28.9723899,2.899,http://paradisepizza.com.tr/
pizza,Pizza Vito'Rico,"Barış, Fatih Sultan Mehmet Blv. No:13, 16100 Ni̇lüfer/Bursa, Türkiye",40.2160601,28.9767806,2.907,Web Sitesi Yok
restoran,Sağıroğlu Restoran Parkora Şubesi,"Parkora AVM, Odunluk, Akpınar Cd., 16265 Ni̇lüfer/Bursa, Türkiye",40.2103014,28.9993243,2.938,https://www.gecedoneri.com/
köfte,Ömür Köftecisi,"Odunluk, Akademi Cd No:82, 16110 Ni̇lüfer/Bursa, Türkiye",40.2084541,28.9951455,3.149,https://www.facebook.com/%C3%96m%C3%BCr-k%C3%B6ftecisi-1965-Harmony-Towers-886549724743047/
restoran,Yahyazade Restoran,"orhaneli yolu, Konak, Lefkoşe Cd. no:30/1/1, 16110 Ni̇lüfer/Bursa, Türkiye",40.208278799999995,28.992280299999997,3.195,http://www.yahyazade.com/
kebap,Harran Kebap,"Barış, İzmir Yolu Cd No:138, 16210 Ni̇lüfer/Bursa, Türkiye",40.2120323,28.974788399999998,3.368,http://harran.com.tr/
pizza,Adress Pizza,"Beşevler mah. Yıldırım cad. Kontkar ap, Beşevler, B Blok No:156, 16110 Ni̇lüfer/Bursa, Türkiye",40.210251299999996,28.977728000000003,3.399,Web Sitesi Yok
restoran,Kocamanlar Balık Restoran Beşevler,"Konak, Konak Cd. No:2, 16070 Ni̇lüfer/Bursa, Türkiye",40.2068824,28.9886445,3.405,http://www.kocamanlarbalik.com/
köfte,Meşhur Adıyaman Çiğ Köftecisi Ömer Aybak Yenibağlar Şubesi & Çiğ Köfte & Doğal Ev Yapımı İçli Köfte ve Mantı & Sıcak Midye,"Yenibağlar, 1. Karanfil Cd. no:86/B, 16160 Osmangazi̇/Bursa, Türkiye",40.2587732,28.9698073,3.416,Web Sitesi Yok
restoran,Nilüfer Burhan Balıkçılık,"Ataevler, Yılmaz Akkılıç Cd. No:41/A, 16140 Ni̇lüfer/Bursa, Türkiye",40.223517099999995,28.9612834,3.429,http://www.burhanbalikcilik.com/
pizza,Pegasus Pizza,"Ataevler, Vadi Sk. Vadikent Sitesi F Blok No:19, 16140 Ni̇lüfer/Bursa, Türkiye",40.223996,28.960563999999994,3.462,Web Sitesi Yok
restoran,HAVUZLU BAHÇE CAFE RESTORAN,"Havuzlu Konak, Barış, Ali Rıza Bey Cd. No:49/2, 16140 Ni̇lüfer/Bursa, Türkiye",40.2187231,28.9641093,3.489,Web Sitesi Yok
fast food,Online Fast Food,"Konak, Mimar Sinan Cd. No:17/B, 16100 Ni̇lüfer/Bursa, Türkiye",40.2074737,28.981883399999997,3.52,Web Sitesi Yok
cafe,Bahçende Cafe & Izgara Salonu,"Ataevler, Nene Hatun Cd. 53/1, 16140 Ni̇lüfer/Bursa, Türkiye",40.2228555,28.960494800000003,3.521,Web Sitesi Yok
kebap,Hacıosmanoğlu Kebap,"Konak, Beşevler Cd. No: 31/A, 16200 Ni̇lüfer/Bursa, Türkiye",40.2064174,28.985092599999998,3.536,Web Sitesi Yok
cafe,Cafe Luca,"Konak, Beşevler Cd. No:46, 16110 Ni̇lüfer/Bursa, Türkiye",40.2065303,28.980867600000003,3.65,https://www.caffeluca.info/
restoran,Sağıroğlu Restoran | Bursa Gece Dönercisi,"Odunluk, Odunluk Cd. No: 4, 16110 Ni̇lüfer/Bursa, Türkiye",40.2035675,28.9969043,3.685,http://www.gecedoneri.com/
cafe,MOLA BİNEFES Cafe & Restaurant,"Kükürtlü, Belde Cd. No:4, 16080 Osmangazi̇/Bursa, Türkiye",40.207866599999996,29.0192565,3.688,Web Sitesi Yok
lokanta,Meydan Lokantası,"Çamlıca, Lefkoşe Cd. No:76, 16110 Ni̇lüfer/Bursa, Türkiye",40.202846099999995,28.991034300000003,3.808,http://www.meydanlokantasi.com.tr/
restoran,Zennup1844 I Bursa,"blok 76, 1/15, Eker Meydanı Avm A, Çamlıca, 16040 Ni̇lüfer/Bursa, Türkiye",40.2028338,28.9909032,3.811,http://www.zennup.com.tr/
kebap,Harput Kebap,"Emek Zekai Gümüşdiş, Fevzi Çakmak Cd. No:33 B, 16180, 16500 Osmangazi̇/Bursa, Türkiye",40.253034899999996,28.956247,3.967,Web Sitesi Yok
pizza,Pati pizza,"Hüdavendigar Hektar Sokak No:1, Hüdavendigar, Uğurgil Sitesi b blok 1/dukkan, 16090 Osmangazi̇/Bursa, Türkiye",40.2021217,29.0093939,3.969,Web Sitesi Yok
cafe,Duran Cafe,"Hüdavendigar, Hüdavendigar Parkı No:7/18, 16090 Osmangazi̇/Bursa, Türkiye",40.200591599999996,28.998587999999998,4.016,https://durancafe.com.tr/
kebap,Beykapı Kebap,"Kükürtlü, Kükürtlü Cd. No:30, 16100 Osmangazi̇/Bursa, Türkiye",40.2054098,29.025596899999996,4.204,http://www.beykapi.com/
pizza,Coi Pizzeria & Italian Food,"Kükürtlü, Kükürtlü Cd. No:32, 16080 Osmangazi̇/Bursa, Türkiye",40.205216,29.025767,4.23,https://www.yemeksepeti.com/restaurant/r994/coi-r994
cafe,Çekirge Manzara Kafe,"Çekirge, 1. Murat Cd. No:6, 16265 Osmangazi̇/Bursa, Türkiye",40.202914799999995,29.021758399999996,4.272,https://www.instagram.com/manzarakafe/
pizza,Porta İtaliana Beşevler,"Konak Mah Eğitimciler Caddesi No:102/1 İÇ KAPI NO :A, Konak, 16110 Ni̇lüfer/Bursa, Türkiye",40.2011545,28.976914400000002,4.332,https://www.yemeksepeti.com/restaurant/lkkw/coi-lkkw
restoran,Japon Parkı Restoran & Kafe,"Çamlıca, Erdek Sk., 16110 Ni̇lüfer/Bursa, Türkiye",40.200584,28.978512100000003,4.337,Web Sitesi Yok
restoran,Çamlıca Restoran,"Çamlıca, Eğitimciler Cd. No:116, 16110 Ni̇lüfer/Bursa, Türkiye",40.2010562,28.9762555,4.365,http://burfas.com.tr/tesis-detay/camlica-restoran
restoran,Bıçaksız Restoran,"Doburca Mah. 3.Nilüfer Cad A Blok No: 102 İç Kapı No: 1, Doburca, 16090 Osmangazi̇/Bursa, Türkiye",40.195301,28.998348300000004,4.604,https://bicaksizrestoran.com/
fast food,TREND FAST FOOD,"Soğanlı, 1.Şifa Sk No: 17/A, 16000 Osmangazi̇/Bursa, Türkiye",40.2143109,29.045135999999996,4.727,Web Sitesi Yok
pizza,Terra Pizza - Bursa (Nilüfer 23 Nisan),"23 Nisan Mh. Köroğlu Cd. No:4BC, 23 Nisan, 16230 Ni̇lüfer/Bursa, Türkiye",40.2203224,28.9443355,4.891,https://www.terrapizza.com.tr/
restoran,Yakup Usta Restoran,"Üçevler, Esra Sk. No:16210, 16000 Ni̇lüfer/Bursa, Türkiye",40.2111468,28.949384199999997,4.997,Web Sitesi Yok
